X,Y,OBJECTID,Pole_Material,Pole_Arm_Type,Luminaire_Type,Lamp_Type,Lamp_Wattage,Controller_ID,Northing,Easting,Pole_Height,InstallDate,FACILITYID,Receptacle,ControllerCircuit,Pole_Color,Pole_Manufacturer,Lamp_Manufacturer,Decorative,Notes,Location_Adjusted,RepairYear,FieldVerifiedDate
-88.2365127595735,40.1041997514876,410,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1251879.2829,1011335.206825,3,,760,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2365196740756,40.1048894585034,411,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252130.529775,1011332.999,3,,761,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2366332879362,40.1045355461369,412,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252001.5708,1011301.358375,3,,762,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.237074751038,40.1055653662743,413,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252376.583425,1011177.4626,3,,764,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2385299641243,40.1054370033379,414,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252329.385675,1010770.45445,3,,765,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2356365560896,40.117386465319,415,Aluminum,Davit,Cobra,HPS,100,SL047,1256683.2604,1011575.03,4,,767,No,,Natural,,GE,No,,AERIAL,,
-88.2349873694352,40.12049315899,416,Aluminum,Davit,Cobra,HPS,100,SL047,1257815.1808,1011755.34,4,,772,No,,Natural,,GE,No,,AERIAL,,
-88.2349851581689,40.1201494836534,417,Aluminum,Davit,Cobra,HPS,100,SL047,1257689.9861,1011756.097,4,,773,No,,Natural,,GE,No,,AERIAL,,
-88.2353777187107,40.1194014872205,418,Aluminum,Davit,Cobra,HPS,100,SL047,1257417.381225,1011646.612,4,,774,No,,Natural,,GE,No,,AERIAL,,
-88.234515241671,40.1192213187832,419,Aluminum,Davit,Cobra,HPS,100,SL047,1257352.01535,1011887.891,4,,775,No,,Natural,,GE,No,,AERIAL,,
-88.2339285394547,40.1192308118382,420,Aluminum,Davit,Cobra,HPS,100,SL047,1257355.656625,1012051.969,4,,776,No,,Natural,,GE,No,,AERIAL,,
-88.2353793979693,40.1188844423322,421,Aluminum,Davit,Cobra,HPS,100,SL047,1257229.02905,1011646.35,4,,777,No,,Natural,,GE,No,,AERIAL,,
-88.2353798777652,40.1184282578439,422,Aluminum,Davit,Cobra,HPS,100,SL047,1257062.848,1011646.399,4,,778,No,,Natural,,GE,No,,AERIAL,,
-88.2346121967861,40.1182767083067,423,Aluminum,Davit,Cobra,HPS,100,SL047,1257007.8784,1011861.158,4,,780,No,,Natural,,GE,No,,AERIAL,,
-88.2340042361923,40.1182760966398,424,Aluminum,Davit,Cobra,HPS,100,SL047,1257007.84505,1012031.188,4,,781,No,,Natural,,GE,No,,AERIAL,,
-88.2353743358814,40.1178920766074,425,Aluminum,Davit,Cobra,HPS,100,SL047,1256867.52735,1011648.164,4,,782,No,,Natural,,GE,No,,AERIAL,,
-88.2353690445869,40.117427384368,426,Aluminum,Davit,Cobra,HPS,100,SL047,1256698.248825,1011649.83,4,,783,No,,Natural,,GE,No,,AERIAL,,
-88.2451040231374,40.1189466779607,427,Aluminum,Truss Arm,Cobra,HPS,250,SL025,1257247.464525,1008928.707,6,,784,No,,Black,,GE,No,,AERIAL,,
-88.2350354488916,40.1153291390638,428,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255935.122425,1011746.9248,3,,787,No,,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,,
-88.2346335167931,40.1154221748805,429,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255969.83265,1011856.870925,3,,788,No,,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,,
-88.2321694367046,40.1149634836256,430,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255801.69024999,1012545.70315,3,,789,No,,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,AERIAL,,
-88.2320417570967,40.1146335903838,431,Concrete,Pipe Arm,Cobra,HPS,150,SL123,1255681.555975,1012581.550275,3,,790,No,,Natural,Unknown,GE,No,Possibly fed from 123 to the south or 91 to the west,GPS,,
-88.23215144084,40.112784525611,436,Concrete,Pipe Arm,Cobra,HPS,150,SL091,1255006.824525,1012552.3339,3,,795,No,,Natural,Unknown,GE,No,,AERIAL,,
-88.2603085241753,40.1134792762497,437,Cast Iron,Other,Globe,IND,55,SL009,1255251.3818,1004676.622,7,,796,No,,Green,,QL,Yes,,AERIAL,,
-88.2608510760901,40.1134841688079,438,Cast Iron,Other,Globe,IND,55,SL009,1255256.42515,1004526.019,7,,797,No,,Green,,QL,Yes,,AERIAL,,
-88.2614000288595,40.1134916520964,439,Cast Iron,Other,Globe,IND,55,SL009,1255256.648125,1004371.932,7,,798,No,,Green,,QL,Yes,,AERIAL,,
-88.2376683558473,40.1052597668352,440,Concrete,Pipe Arm,Cobra,HPS,150,SL069,1252265.07945,1011011.536875,3,,799,No,,Natural,Unknown,GE,No,,AERIAL,,
